,year,age,men,women,group
2278,2016,64,208929,306173.0,60 - 80
2279,2016,65,202140,302258.0,60 - 80
2280,2016,66,201406,312895.0,60 - 80
2281,2016,67,164310,259283.0,60 - 80
2282,2016,68,140031,229249.0,60 - 80
2283,2016,69,129849,222131.0,60 - 80
2284,2016,70,81538,146446.0,60 - 80
2285,2016,71,89398,168292.0,60 - 80
2286,2016,72,77468,149507.0,60 - 80
2287,2016,73,95195,189839.0,60 - 80
2288,2016,74,122876,245425.0,60 - 80
2289,2016,75,119964,245102.0,60 - 80
2290,2016,76,118369,258565.0,60 - 80
2291,2016,77,116399,261038.0,60 - 80
2292,2016,78,113614,254250.0,60 - 80
2293,2016,79,87444,195204.0,60 - 80
2296,2017,0,203793,190833.0,0 - 20
2297,2017,1,211045,197600.0,0 - 20
2298,2017,2,237929,224336.0,0 - 20
2299,2017,3,242802,228506.0,0 - 20
2300,2017,4,251201,236030.0,0 - 20
2301,2017,5,242467,227967.0,0 - 20
2302,2017,6,239738,225856.0,0 - 20
2303,2017,7,247603,232042.0,0 - 20
2304,2017,8,246238,231335.0,0 - 20
2305,2017,9,226623,214511.0,0 - 20
2306,2017,10,220944,210020.0,0 - 20
2307,2017,11,205363,193450.0,0 - 20
2308,2017,12,205461,194569.0,0 - 20
2309,2017,13,196045,185932.0,0 - 20
2310,2017,14,188298,176999.0,0 - 20
2311,2017,15,180859,170565.0,0 - 20
2312,2017,16,185990,175922.0,0 - 20
2313,2017,17,188144,178590.0,0 - 20
2314,2017,18,199959,191425.0,0 - 20
2315,2017,19,210527,199650.0,0 - 20
2316,2017,20,229118,216485.0,20 - 40
2317,2017,21,239503,225537.0,20 - 40
2318,2017,22,249094,234150.0,20 - 40
2319,2017,23,262233,248188.0,20 - 40
2320,2017,24,280918,266346.0,20 - 40
2321,2017,25,299374,284191.0,20 - 40
2322,2017,26,313398,298552.0,20 - 40
2323,2017,27,326497,312544.0,20 - 40
2324,2017,28,345782,332446.0,20 - 40
2325,2017,29,356606,343069.0,20 - 40
2326,2017,30,377087,365195.0,20 - 40
2327,2017,31,364603,355062.0,20 - 40
2328,2017,32,372641,363038.0,20 - 40
2329,2017,33,376464,368133.0,20 - 40
2330,2017,34,342549,334493.0,20 - 40
2331,2017,35,327960,327331.0,20 - 40
2332,2017,36,334798,334485.0,20 - 40
2333,2017,37,314568,316292.0,20 - 40
2334,2017,38,309988,315973.0,20 - 40
2335,2017,39,297602,307015.0,20 - 40
2336,2017,40,312866,323495.0,40 - 60
2337,2017,41,303838,319180.0,40 - 60
2338,2017,42,294323,311309.0,40 - 60
2339,2017,43,286146,303723.0,40 - 60
2340,2017,44,293019,314366.0,40 - 60
2341,2017,45,290310,310935.0,40 - 60
2342,2017,46,286619,308488.0,40 - 60
2343,2017,47,260553,285635.0,40 - 60
2344,2017,48,262840,290464.0,40 - 60
2345,2017,49,256572,288226.0,40 - 60
2346,2017,50,262022,297829.0,40 - 60
2347,2017,51,256251,296576.0,40 - 60
2348,2017,52,264837,311045.0,40 - 60
2349,2017,53,279060,333552.0,40 - 60
2350,2017,54,282185,342221.0,40 - 60
2351,2017,55,290839,354529.0,40 - 60
2352,2017,56,297343,367794.0,40 - 60
2353,2017,57,278088,352696.0,40 - 60
2354,2017,58,271496,350322.0,40 - 60
2355,2017,59,254987,335932.0,40 - 60
2356,2017,60,248445,334890.0,60 - 80
2357,2017,61,226389,312671.0,60 - 80
2358,2017,62,227425,321405.0,60 - 80
2359,2017,63,202048,293211.0,60 - 80
2360,2017,64,205987,305914.0,60 - 80
2361,2017,65,201870,302297.0,60 - 80
2362,2017,66,195133,297971.0,60 - 80
2363,2017,67,193619,307848.0,60 - 80
2364,2017,68,157589,254805.0,60 - 80
2365,2017,69,133813,224800.0,60 - 80
2366,2017,70,123737,217524.0,60 - 80
2367,2017,71,77479,143022.0,60 - 80
2368,2017,72,84158,163586.0,60 - 80
2369,2017,73,72744,144936.0,60 - 80
2370,2017,74,88760,183513.0,60 - 80
2371,2017,75,114938,236587.0,60 - 80
2372,2017,76,111518,235294.0,60 - 80
2373,2017,77,108821,246807.0,60 - 80
2374,2017,78,106602,247748.0,60 - 80
2375,2017,79,103244,239585.0,60 - 80
2378,2018,0,186249,175540.0,0 - 20
2379,2018,1,203612,190704.0,0 - 20
2380,2018,2,210970,197562.0,0 - 20
2381,2018,3,237860,224277.0,0 - 20
2382,2018,4,242735,228464.0,0 - 20
2383,2018,5,251130,235993.0,0 - 20
2384,2018,6,242412,227890.0,0 - 20
2385,2018,7,239702,225812.0,0 - 20
2386,2018,8,247559,231999.0,0 - 20
2387,2018,9,246176,231298.0,0 - 20
2388,2018,10,226564,214495.0,0 - 20
2389,2018,11,220909,209978.0,0 - 20
2390,2018,12,205307,193413.0,0 - 20
2391,2018,13,205406,194548.0,0 - 20
2392,2018,14,196012,185914.0,0 - 20
2393,2018,15,188228,176981.0,0 - 20
2394,2018,16,180824,170569.0,0 - 20
2395,2018,17,186186,176019.0,0 - 20
2396,2018,18,189258,179078.0,0 - 20
2397,2018,19,201471,192029.0,0 - 20
2398,2018,20,211406,200108.0,20 - 40
2399,2018,21,229126,216597.0,20 - 40
2400,2018,22,238811,225470.0,20 - 40
2401,2018,23,248375,233980.0,20 - 40
2402,2018,24,261652,247985.0,20 - 40
2403,2018,25,280177,266164.0,20 - 40
2404,2018,26,298720,284077.0,20 - 40
2405,2018,27,312702,298394.0,20 - 40
2406,2018,28,325929,312426.0,20 - 40
2407,2018,29,345074,332287.0,20 - 40
2408,2018,30,355862,342871.0,20 - 40
2409,2018,31,376261,364935.0,20 - 40
2410,2018,32,363707,354801.0,20 - 40
2411,2018,33,371652,362715.0,20 - 40
2412,2018,34,375315,367803.0,20 - 40
2413,2018,35,341427,334104.0,20 - 40
2414,2018,36,326819,326940.0,20 - 40
2415,2018,37,333438,333962.0,20 - 40
2416,2018,38,313194,315779.0,20 - 40
2417,2018,39,308440,315414.0,20 - 40
2418,2018,40,295959,306413.0,40 - 60
2419,2018,41,311141,322915.0,40 - 60
2420,2018,42,302079,318522.0,40 - 60
2421,2018,43,292295,310582.0,40 - 60
2422,2018,44,284147,302993.0,40 - 60
2423,2018,45,291008,313573.0,40 - 60
2424,2018,46,288046,310065.0,40 - 60
2425,2018,47,284217,307611.0,40 - 60
2426,2018,48,258279,284748.0,40 - 60
2427,2018,49,260336,289547.0,40 - 60
2428,2018,50,253738,287181.0,40 - 60
2429,2018,51,259091,296697.0,40 - 60
2430,2018,52,253238,295429.0,40 - 60
2431,2018,53,261415,309729.0,40 - 60
2432,2018,54,275157,332060.0,40 - 60
2433,2018,55,277815,340567.0,40 - 60
2434,2018,56,286253,352807.0,40 - 60
2435,2018,57,292336,365746.0,40 - 60
2436,2018,58,272802,350588.0,40 - 60
2437,2018,59,265998,347866.0,40 - 60
2438,2018,60,249164,333426.0,60 - 80
2439,2018,61,242464,332184.0,60 - 80
2440,2018,62,220318,309794.0,60 - 80
2441,2018,63,220974,318175.0,60 - 80
2442,2018,64,195975,290001.0,60 - 80
2443,2018,65,199191,302232.0,60 - 80
2444,2018,66,194822,298194.0,60 - 80
2445,2018,67,187846,293508.0,60 - 80
2446,2018,68,185654,302423.0,60 - 80
2447,2018,69,150706,249945.0,60 - 80
2448,2018,70,127622,220123.0,60 - 80
2449,2018,71,117577,212546.0,60 - 80
2450,2018,72,73484,139598.0,60 - 80
2451,2018,73,78939,158533.0,60 - 80
2452,2018,74,68046,140106.0,60 - 80
2453,2018,75,82581,176816.0,60 - 80
2454,2018,76,107218,227786.0,60 - 80
2455,2018,77,103162,225131.0,60 - 80
2456,2018,78,99682,234596.0,60 - 80
2457,2018,79,97145,234156.0,60 - 80
